Player,Season,Age,Tm,Lg,G,MP,GS,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Landry Shamet,2019-20,22,LAC,NBA,47,1294,27,9.2,0.764,0.179,0.5,6.5,3.6,9.0,0.7,0.6,8.7,13.3,119,112,1.7,1.0,2.7,0.1,-1.4,-0.2,-1.6,0.1
Jeremy Lamb,2019-20,27,IND,NBA,46,1291,42,14.1,0.33,0.23,2.1,14.9,8.5,10.5,2.1,1.5,8.7,19.7,108,108,0.9,1.8,2.7,0.099,-1.1,0.7,-0.4,0.5
Rudy Gay,2019-20,33,SAS,NBA,60,1287,5,14.4,0.369,0.225,4.7,22.3,13.5,11.3,1.0,1.9,12.4,21.3,105,113,0.6,0.9,1.5,0.054000000000000006,-0.5,-1.0,-1.5,0.2
Tyler Herro,2019-20,20,MIA,NBA,47,1280,6,11.4,0.476,0.14800000000000002,1.3,14.6,8.2,11.1,1.1,0.5,11.3,22.0,100,112,-0.3,1.1,0.9,0.033,-1.0,-1.3,-2.3,-0.1
Clint Capela,2019-20,25,HOU,NBA,39,1279,39,20.7,0.0,0.268,13.7,30.5,22.0,5.7,1.2,4.8,12.7,16.0,124,105,2.9,2.1,5.0,0.18600000000000005,1.1,0.4,1.5,1.1
Jordan Poole,2019-20,20,GSW,NBA,57,1274,14,7.2,0.528,0.237,0.7,9.6,5.0,15.8,1.3,0.7,11.8,21.1,91,117,-1.6,0.4,-1.2,-0.047,-4.4,-2.2,-6.6,-1.5
Trey Lyles,2019-20,24,SAS,NBA,63,1271,53,12.7,0.49,0.131,6.0,24.6,15.3,7.3,1.1,1.9,9.7,13.7,113,113,1.2,1.0,2.2,0.081,-0.5,-0.7,-1.2,0.2
Kris Dunn,2019-20,25,CHI,NBA,51,1269,32,12.1,0.327,0.158,1.9,14.9,8.1,19.4,3.8,1.3,15.7,14.6,104,106,0.3,2.0,2.3,0.085,-3.7,3.1,-0.6,0.4
Norman Powell,2019-20,26,TOR,NBA,44,1269,23,17.4,0.457,0.252,2.0,11.2,6.7,9.7,2.1,1.3,10.0,21.5,117,106,2.2,1.9,4.2,0.157,1.4,0.9,2.3,1.4
Sviatoslav Mykhailiuk,2019-20,22,DET,NBA,56,1265,27,11.2,0.7040000000000001,0.173,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,110,116,1.0,0.6,1.6,0.06,-0.7,-1.2,-1.8,0.0
Wendell Carter,2019-20,20,CHI,NBA,43,1256,43,15.5,0.085,0.443,11.6,24.6,17.8,6.0,1.3,2.7,14.9,16.4,115,108,1.7,1.6,3.3,0.127,-2.1,-0.3,-2.4,-0.1
Derrick Jones,2019-20,22,MIA,NBA,51,1249,15,14.8,0.39,0.35,5.4,13.5,9.6,6.7,2.1,2.9,6.8,14.1,124,108,2.3,1.6,3.9,0.15,-0.4,1.1,0.8,0.9
