Player,Season,Age,Tm,Lg,G,MP,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,All NBA
Kentavious Caldwell-Pope,2015-16,22,DET,NBA,76,2789,76,7.3,17.4,5.2,10.7,2.1,6.7,3.3,4.1,1.3,3.8,5.1,2.5,2.0,0.3,1.9,3.0,20.0,0.42,0.489,0.309,0.479,0.8109999999999999,0.521,0
John Wall,2015-16,25,WAS,NBA,77,2784,77,10.0,23.6,8.0,17.9,2.0,5.7,4.8,6.0,0.7,5.9,6.6,13.8,2.5,1.0,5.6,2.8,26.8,0.424,0.448,0.35100000000000003,0.467,0.7909999999999999,0.51,0
Chandler Parsons,2013-14,25,HOU,NBA,74,2783,74,8.3,17.7,6.0,11.4,2.3,6.3,2.9,4.0,1.2,6.1,7.3,5.3,1.6,0.5,2.6,3.0,22.0,0.472,0.528,0.37,0.5379999999999999,0.742,0.565,0
Wesley Matthews,2013-14,27,POR,NBA,82,2780,82,8.1,18.4,4.4,9.1,3.7,9.3,4.6,5.5,0.9,4.3,5.3,3.6,1.4,0.3,2.0,3.2,24.4,0.441,0.49,0.393,0.541,0.8370000000000001,0.588,0
CJ McCollum,2015-16,24,POR,NBA,80,2780,80,11.5,25.7,8.0,17.3,3.5,8.5,3.4,4.1,0.8,3.8,4.7,6.1,1.7,0.4,3.5,3.4,30.0,0.448,0.463,0.417,0.517,0.8270000000000001,0.544,0
Andre Iguodala,2012-13,29,DEN,NBA,80,2779,80,7.2,16.0,5.5,10.8,1.7,5.2,2.8,4.9,1.5,6.2,7.7,7.9,2.5,0.9,3.7,2.3,18.9,0.451,0.515,0.317,0.502,0.574,0.52,0
James Harden,2013-14,24,HOU,NBA,73,2777,73,9.9,21.6,6.7,13.0,3.2,8.7,10.3,11.9,1.1,5.1,6.2,8.0,2.1,0.5,4.8,3.2,33.2,0.456,0.515,0.366,0.529,0.866,0.618,1
Trevor Ariza,2016-17,31,HOU,NBA,80,2773,80,5.6,13.8,2.3,4.2,3.3,9.6,1.6,2.2,0.9,7.0,7.9,3.0,2.5,0.3,1.3,2.3,16.2,0.409,0.556,0.344,0.528,0.738,0.5479999999999999,0
Chandler Parsons,2012-13,24,HOU,NBA,76,2758,76,8.3,17.0,5.5,9.9,2.8,7.2,2.0,2.8,1.4,5.9,7.3,4.9,1.4,0.6,2.7,2.7,21.3,0.486,0.5589999999999999,0.385,0.5670000000000001,0.7290000000000001,0.584,0
Mike Conley,2012-13,25,MEM,NBA,80,2757,80,8.2,18.5,6.1,12.7,2.1,5.8,4.6,5.6,0.8,3.6,4.4,9.6,3.4,0.5,3.7,3.4,23.0,0.44,0.476,0.362,0.4970000000000001,0.83,0.5489999999999999,0
Giannis Antetokounmpo,2017-18,23,MIL,NBA,75,2756,75,13.4,25.4,12.6,22.8,0.8,2.5,8.8,11.6,2.8,10.8,13.6,6.5,2.0,1.9,4.0,4.2,36.4,0.529,0.5539999999999999,0.307,0.545,0.76,0.598,1
