Player,Season,Age,Tm,Lg,G,MP,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,All NBA
Dion Waiters,2012-13,21,CLE,NBA,61,1756,48,10.0,24.1,8.1,18.1,1.9,6.0,4.7,6.3,0.7,3.8,4.4,5.4,1.7,0.5,3.6,3.3,26.5,0.412,0.446,0.31,0.451,0.746,0.4920000000000001,0
Trevor Booker,2016-17,29,BRK,NBA,71,1754,43,8.2,16.0,7.6,13.9,0.7,2.1,2.0,3.0,3.9,11.6,15.4,3.7,2.0,0.8,3.4,4.1,19.2,0.516,0.546,0.321,0.537,0.6729999999999999,0.5539999999999999,0
Sean Kilpatrick,2016-17,27,BRK,NBA,70,1754,24,8.2,19.9,5.4,11.5,2.8,8.3,5.5,6.5,0.6,7.0,7.6,4.2,1.2,0.2,3.6,3.2,24.8,0.415,0.468,0.341,0.486,0.843,0.546,0
Patty Mills,2016-17,28,SAS,NBA,80,1754,8,7.9,18.0,3.7,7.7,4.3,10.3,1.9,2.3,0.7,3.4,4.1,8.1,1.9,0.1,2.9,3.2,22.1,0.44,0.474,0.414,0.5579999999999999,0.825,0.578,0
Kyle Korver,2016-17,35,TOT,NBA,67,1753,22,6.8,14.6,2.2,4.4,4.6,10.2,1.1,1.2,0.2,5.1,5.3,3.1,1.0,0.6,2.0,3.0,19.2,0.464,0.494,0.451,0.621,0.905,0.635,0
Shane Larkin,2015-16,23,BRK,NBA,78,1751,17,6.4,14.4,5.3,11.3,1.1,3.1,2.4,3.1,0.8,4.4,5.2,9.8,2.7,0.3,4.2,3.5,16.3,0.442,0.464,0.361,0.481,0.7759999999999999,0.515,0
Patrick Beverley,2013-14,25,HOU,NBA,56,1751,55,5.7,13.7,3.0,6.4,2.6,7.3,2.4,2.9,2.0,3.5,5.6,4.3,2.2,0.7,1.9,5.0,16.3,0.414,0.473,0.361,0.509,0.8140000000000001,0.545,0
Terrence Ross,2015-16,24,TOR,NBA,73,1747,7,8.0,18.5,4.1,8.5,3.9,10.0,1.4,1.8,0.6,4.9,5.5,1.7,1.6,0.7,1.4,3.5,21.3,0.431,0.484,0.386,0.536,0.79,0.551,0
Bradley Beal,2012-13,19,WAS,NBA,56,1745,46,8.4,20.5,5.7,13.5,2.7,7.0,3.7,4.7,1.3,5.0,6.3,4.1,1.5,0.9,2.7,3.4,23.3,0.41,0.424,0.386,0.477,0.7859999999999999,0.515,0
Langston Galloway,2018-19,27,DET,NBA,80,1745,4,6.4,16.6,2.6,5.8,3.8,10.7,2.3,2.7,1.4,3.4,4.8,2.4,1.0,0.2,0.7,3.8,19.0,0.388,0.449,0.355,0.503,0.8440000000000001,0.534,0
Alan Anderson,2014-15,32,BRK,NBA,74,1744,19,5.8,13.1,3.6,6.8,2.2,6.2,2.4,3.0,0.9,5.1,6.1,2.5,1.7,0.1,1.8,4.4,16.2,0.443,0.53,0.348,0.526,0.812,0.563,0
Marquese Chriss,2016-17,19,PHO,NBA,82,1743,75,7.8,17.4,5.8,11.2,2.0,6.2,3.1,5.0,2.6,6.9,9.6,1.6,1.8,1.9,3.0,7.2,20.7,0.449,0.52,0.321,0.506,0.624,0.529,0
Dejounte Murray,2017-18,21,SAS,NBA,81,1743,48,7.8,17.7,7.6,16.7,0.3,1.0,3.0,4.3,3.2,10.1,13.3,6.7,2.8,0.9,3.9,4.4,19.0,0.443,0.454,0.265,0.451,0.7090000000000001,0.485,0
Mason Plumlee,2014-15,24,BRK,NBA,82,1743,45,8.3,14.5,8.3,14.4,0.0,0.1,4.7,9.4,5.2,10.0,15.2,2.2,1.9,1.9,3.1,6.1,21.3,0.573,0.5760000000000001,0.0,0.573,0.495,0.57,0
Kyle Singler,2014-15,26,TOT,NBA,80,1743,58,5.1,13.1,2.2,6.0,2.8,7.1,1.2,1.5,1.0,4.7,5.7,2.5,1.4,0.6,1.6,4.5,14.1,0.386,0.371,0.398,0.493,0.769,0.512,0
Hollis Thompson,2013-14,22,PHI,NBA,77,1742,41,4.8,10.3,2.9,5.7,1.9,4.6,1.4,2.0,2.0,4.8,6.9,2.0,1.5,0.3,1.7,4.0,12.8,0.46,0.507,0.401,0.55,0.7120000000000001,0.57,0
Marcus Thornton,2013-14,26,TOT,NBA,72,1741,27,7.4,18.9,4.2,9.5,3.2,9.3,2.7,3.3,1.7,4.2,5.8,2.3,1.7,0.3,2.0,3.2,20.8,0.394,0.443,0.345,0.48,0.804,0.511,0
Matt Barnes,2013-14,33,LAC,NBA,63,1735,40,6.7,15.2,3.9,7.0,2.8,8.2,1.9,2.6,1.7,6.7,8.4,3.6,1.6,0.8,2.5,5.3,18.0,0.438,0.5489999999999999,0.343,0.53,0.733,0.552,0
Brook Lopez,2017-18,29,LAL,NBA,74,1735,72,10.2,21.9,7.1,12.9,3.1,9.0,3.1,4.4,2.0,6.1,8.1,3.5,0.8,2.7,2.7,5.4,26.5,0.465,0.5489999999999999,0.345,0.536,0.703,0.557,0
Nikola Jokić,2015-16,20,DEN,NBA,80,1733,55,8.9,17.4,8.1,14.9,0.8,2.4,4.5,5.5,5.2,11.0,16.2,5.5,2.3,1.4,3.0,6.0,23.0,0.512,0.541,0.333,0.535,0.8109999999999999,0.5820000000000001,0
Reggie Bullock,2017-18,26,DET,NBA,62,1732,52,7.7,15.7,4.1,7.6,3.6,8.1,1.1,1.4,0.8,3.7,4.4,2.7,1.4,0.4,1.4,2.0,20.1,0.489,0.536,0.445,0.603,0.7959999999999999,0.615,0
Ty Lawson,2016-17,29,SAC,NBA,69,1732,24,6.9,15.2,5.9,11.8,1.0,3.4,5.1,6.3,1.3,3.9,5.2,9.8,2.2,0.2,3.8,3.5,19.9,0.454,0.502,0.28800000000000003,0.487,0.797,0.551,0
Andre Iguodala,2015-16,32,GSW,NBA,65,1732,1,4.9,10.3,3.4,6.0,1.5,4.3,1.4,2.3,1.5,5.9,7.3,6.1,2.0,0.5,2.2,2.8,12.7,0.478,0.57,0.35100000000000003,0.552,0.614,0.565,0
Tyler Zeller,2014-15,25,BOS,NBA,82,1731,59,9.8,17.9,9.8,17.9,0.0,0.0,4.4,5.4,4.2,9.2,13.5,3.3,0.5,1.5,2.2,5.9,24.1,0.5489999999999999,0.5489999999999999,,0.5489999999999999,0.823,0.594,0
Mason Plumlee,2018-19,28,DEN,NBA,82,1731,17,7.4,12.5,7.4,12.3,0.1,0.3,3.1,5.6,4.7,10.2,14.9,6.9,1.9,2.2,3.6,7.2,18.1,0.593,0.602,0.2,0.595,0.561,0.602,0
Zaza Pachulia,2014-15,30,MIL,NBA,73,1730,45,7.1,15.6,7.1,15.5,0.0,0.1,3.7,4.7,5.8,8.9,14.7,5.2,2.4,0.6,3.9,5.0,17.9,0.454,0.456,0.0,0.454,0.7879999999999999,0.506,0
Jared Dudley,2013-14,28,LAC,NBA,74,1729,43,5.7,12.9,3.3,6.4,2.3,6.5,1.1,1.7,1.0,3.6,4.6,3.0,1.2,0.3,1.6,4.2,14.8,0.438,0.518,0.36,0.529,0.655,0.541,0
Ersan İlyasova,2017-18,30,TOT,NBA,69,1729,43,7.8,17.2,5.2,10.1,2.6,7.1,3.0,3.8,3.3,8.1,11.4,2.5,1.7,0.7,2.0,4.4,21.1,0.452,0.517,0.36,0.526,0.778,0.5579999999999999,0
Derrick White,2018-19,24,SAS,NBA,67,1728,55,7.3,15.3,6.0,11.3,1.4,4.0,2.7,3.5,1.0,6.0,7.0,7.4,1.9,1.3,2.7,4.1,18.7,0.479,0.529,0.338,0.523,0.772,0.555,0
Garrett Temple,2016-17,30,SAC,NBA,65,1728,21,5.4,12.6,3.0,6.2,2.4,6.4,1.7,2.2,0.9,4.5,5.4,4.9,2.5,0.8,2.3,4.1,14.8,0.424,0.476,0.373,0.519,0.784,0.545,0
Jabari Parker,2016-17,21,MIL,NBA,51,1728,50,11.7,23.9,9.8,18.7,1.9,5.2,4.8,6.4,2.3,6.9,9.2,4.2,1.5,0.6,2.7,3.3,30.1,0.49,0.525,0.365,0.53,0.743,0.563,0
Patrick Beverley,2014-15,26,HOU,NBA,56,1727,55,5.9,15.3,2.6,6.0,3.3,9.3,1.3,1.7,1.9,4.9,6.8,5.5,1.7,0.7,2.4,5.2,16.4,0.383,0.426,0.35600000000000004,0.4920000000000001,0.75,0.509,0
Jonas Valančiūnas,2017-18,25,TOR,NBA,77,1727,77,11.1,19.6,10.3,17.5,0.9,2.1,4.9,6.0,5.2,13.6,18.8,2.3,0.8,2.0,3.3,5.5,28.0,0.568,0.5870000000000001,0.405,0.59,0.8059999999999999,0.628,0
Marvin Williams,2012-13,26,UTA,NBA,73,1727,51,6.1,14.4,4.4,9.3,1.7,5.1,2.4,3.0,1.7,6.4,8.0,2.4,1.1,1.2,1.8,3.0,16.2,0.423,0.477,0.325,0.481,0.778,0.515,0
John Salmons,2013-14,34,TOT,NBA,78,1726,8,4.5,12.4,2.6,7.5,1.9,4.9,1.2,1.6,0.6,4.3,4.9,4.4,1.4,0.6,1.6,3.7,12.1,0.363,0.348,0.387,0.439,0.769,0.462,0
Isaiah Thomas,2014-15,25,TOT,NBA,67,1726,1,9.7,23.1,6.0,13.0,3.7,10.0,8.7,10.1,1.0,3.5,4.4,8.2,1.6,0.1,4.1,4.3,31.8,0.42,0.457,0.373,0.501,0.868,0.579,0
Marcus Thornton,2012-13,25,SAC,NBA,72,1726,8,9.9,23.0,5.7,11.7,4.2,11.3,3.3,3.7,1.5,3.9,5.4,2.7,1.8,0.1,2.0,3.1,27.2,0.429,0.484,0.3720000000000001,0.52,0.8809999999999999,0.552,0
Ryan Anderson,2017-18,29,HOU,NBA,66,1725,50,5.9,13.7,2.2,4.0,3.7,9.7,2.1,2.7,2.7,6.8,9.4,1.7,0.7,0.6,1.2,3.6,17.6,0.431,0.539,0.386,0.568,0.774,0.5920000000000001,0
Cody Zeller,2016-17,24,CHO,NBA,62,1725,58,7.4,12.9,7.4,12.9,0.0,0.0,3.9,5.7,3.9,7.9,11.8,2.9,1.8,1.7,1.9,5.5,18.6,0.5710000000000001,0.5720000000000001,0.0,0.5710000000000001,0.679,0.604,0
Jabari Parker,2018-19,23,TOT,NBA,64,1724,17,10.3,20.9,8.6,15.4,1.7,5.4,3.7,5.1,2.2,9.5,11.7,4.2,1.3,0.8,4.2,4.0,25.9,0.493,0.556,0.313,0.5329999999999999,0.7120000000000001,0.56,0
Noah Vonleh,2018-19,23,NYK,NBA,68,1722,57,5.8,12.3,4.5,8.5,1.3,3.8,3.1,4.4,3.2,11.6,14.8,3.6,1.3,1.4,2.5,4.9,16.0,0.47,0.531,0.336,0.523,0.7120000000000001,0.561,0
Enes Kanter,2015-16,23,OKC,NBA,82,1721,1,11.9,20.7,11.7,20.1,0.3,0.6,5.8,7.2,7.2,12.0,19.2,1.0,0.7,1.0,3.3,4.8,29.9,0.5760000000000001,0.579,0.476,0.583,0.797,0.626,0
Kevin Séraphin,2012-13,23,WAS,NBA,79,1721,8,10.0,21.7,10.0,21.7,0.0,0.0,1.8,2.7,3.2,7.2,10.5,1.7,0.7,1.8,3.9,6.4,21.8,0.461,0.461,,0.461,0.693,0.478,0
Jared Dudley,2014-15,29,MIL,NBA,72,1717,22,5.9,12.6,3.7,6.9,2.2,5.7,1.4,2.0,1.3,5.2,6.5,3.9,2.1,0.3,1.8,3.4,15.4,0.468,0.537,0.385,0.556,0.716,0.5720000000000001,0
Jerryd Bayless,2014-15,26,MIL,NBA,77,1717,4,6.5,15.3,5.4,11.8,1.1,3.6,3.6,4.1,0.7,5.6,6.3,6.9,1.8,0.4,4.0,4.8,17.8,0.426,0.462,0.308,0.462,0.883,0.519,0
Josh Hart,2018-19,23,LAL,NBA,67,1715,22,5.1,12.6,2.6,5.2,2.5,7.4,1.5,2.2,0.9,5.8,6.7,2.5,1.7,1.1,1.6,4.0,14.2,0.407,0.511,0.336,0.506,0.688,0.526,0
J.J. Barea,2012-13,28,MIN,NBA,74,1713,2,9.5,22.9,6.6,14.4,2.9,8.5,3.2,4.0,1.0,5.2,6.2,8.9,1.0,0.0,4.4,4.0,25.2,0.417,0.458,0.34600000000000003,0.481,0.784,0.51,0
Jordan Crawford,2012-13,24,TOT,NBA,70,1709,14,9.2,22.1,6.7,14.6,2.5,7.5,3.9,4.9,1.3,5.0,6.4,6.9,1.2,0.2,4.3,3.2,24.8,0.415,0.455,0.337,0.472,0.8109999999999999,0.512,0
Boris Diaw,2012-13,30,SAS,NBA,75,1709,20,5.3,9.9,4.4,7.6,0.9,2.3,1.4,1.9,2.0,5.6,7.6,5.4,1.6,0.8,2.5,4.3,13.0,0.539,0.5870000000000001,0.385,0.584,0.723,0.603,0
Bradley Beal,2015-16,22,WAS,NBA,55,1708,35,10.2,22.8,7.2,15.1,3.0,7.7,3.9,5.0,1.2,4.2,5.4,4.6,1.5,0.3,3.2,3.3,27.3,0.449,0.481,0.387,0.515,0.767,0.547,0
Frank Kaminsky,2015-16,22,CHO,NBA,81,1708,3,6.3,15.4,4.3,9.5,2.0,5.9,3.2,4.3,2.0,7.8,9.8,2.9,1.1,1.3,1.7,3.7,17.8,0.41,0.455,0.337,0.474,0.73,0.513,0
Mike Miller,2013-14,33,MEM,NBA,82,1707,4,6.7,13.9,3.3,6.6,3.3,7.3,1.4,1.8,0.9,5.5,6.5,4.1,0.8,0.2,2.4,3.0,18.1,0.481,0.505,0.459,0.602,0.821,0.619,0
T.J. McConnell,2017-18,25,PHI,NBA,76,1706,1,5.9,11.9,5.2,10.1,0.8,1.7,0.9,1.1,1.0,5.3,6.4,8.5,2.6,0.4,3.2,3.4,13.5,0.499,0.51,0.435,0.531,0.795,0.545,0
Frank Ntilikina,2017-18,19,NYK,NBA,78,1706,9,5.3,14.5,3.8,10.0,1.5,4.6,1.4,2.0,1.1,4.1,5.1,7.3,1.9,0.5,3.8,5.3,13.5,0.364,0.385,0.318,0.414,0.721,0.4370000000000001,0
Will Barton,2016-17,26,DEN,NBA,60,1705,19,8.4,19.1,6.0,12.3,2.5,6.7,4.1,5.4,1.7,5.8,7.4,5.9,1.4,0.8,2.8,3.2,23.5,0.443,0.483,0.37,0.508,0.753,0.547,0
Rajon Rondo,2017-18,31,NOP,NBA,65,1705,63,6.5,13.8,5.1,9.6,1.4,4.2,0.7,1.3,0.9,6.5,7.4,14.9,2.0,0.3,4.2,3.3,15.0,0.468,0.526,0.333,0.518,0.5429999999999999,0.522,0
DeMarre Carroll,2018-19,32,BRK,NBA,67,1703,8,6.3,16.1,3.4,7.4,3.0,8.7,5.1,6.8,1.9,7.9,9.8,2.4,0.9,0.3,2.0,3.2,20.8,0.395,0.457,0.342,0.487,0.76,0.546,0
Jamal Crawford,2014-15,34,LAC,NBA,64,1703,4,9.9,25.0,6.3,14.1,3.5,10.8,6.8,7.5,0.5,3.2,3.7,4.7,1.8,0.4,2.7,3.2,30.1,0.396,0.448,0.327,0.467,0.901,0.532,0
Raymond Felton,2016-17,32,LAC,NBA,80,1700,11,6.5,15.1,5.1,10.9,1.4,4.2,1.5,1.9,1.0,5.4,6.4,5.6,1.9,0.6,2.4,3.7,15.8,0.43,0.473,0.319,0.475,0.7809999999999999,0.496,0
Delon Wright,2018-19,26,TOT,NBA,75,1699,13,6.9,16.0,5.5,11.2,1.4,4.8,3.4,4.3,2.0,5.7,7.6,7.1,2.5,0.9,2.2,3.0,18.7,0.434,0.4920000000000001,0.298,0.478,0.7929999999999999,0.523,0
O.J. Mayo,2014-15,27,MIL,NBA,71,1697,15,8.9,21.1,5.9,12.7,3.0,8.3,3.5,4.2,0.9,4.7,5.6,5.9,1.7,0.5,3.8,5.0,24.2,0.422,0.465,0.35700000000000004,0.493,0.8270000000000001,0.529,0
Miles Bridges,2018-19,20,CHO,NBA,80,1696,25,6.8,14.7,4.9,8.9,1.9,5.7,1.7,2.2,1.9,7.3,9.3,2.7,1.6,1.4,1.4,3.2,17.1,0.464,0.5529999999999999,0.325,0.527,0.753,0.5479999999999999,0
Kenneth Faried,2015-16,26,DEN,NBA,67,1694,64,10.3,18.5,10.3,18.5,0.0,0.1,4.0,6.6,7.0,10.2,17.2,2.3,0.9,1.8,2.7,5.0,24.7,0.5579999999999999,0.5579999999999999,0.5,0.5579999999999999,0.613,0.5770000000000001,0
Nenê Hilário,2014-15,32,WAS,NBA,67,1693,58,9.3,18.2,9.3,18.0,0.0,0.2,3.7,6.1,2.5,7.9,10.4,3.7,2.0,0.7,3.8,5.4,22.3,0.511,0.513,0.2,0.512,0.604,0.534,0
Carlos Boozer,2014-15,33,LAL,NBA,71,1692,26,11.2,22.4,11.2,22.4,0.0,0.0,2.8,4.5,3.4,11.2,14.5,2.9,1.2,0.4,2.8,5.6,25.2,0.499,0.499,,0.499,0.627,0.517,0
Taj Gibson,2014-15,29,CHI,NBA,62,1692,17,7.8,15.5,7.8,15.5,0.0,0.0,4.0,5.6,5.0,7.2,12.1,2.2,1.1,2.3,2.4,5.0,19.6,0.502,0.502,,0.502,0.7170000000000001,0.545,0
Ricky Rubio,2012-13,22,MIN,NBA,57,1691,47,5.7,15.7,4.8,12.9,0.8,2.8,6.5,8.1,1.3,5.7,7.0,12.8,4.2,0.2,5.3,4.4,18.6,0.36,0.374,0.293,0.386,0.799,0.482,0
Robin Lopez,2017-18,29,CHI,NBA,64,1690,64,9.9,18.6,9.8,18.2,0.1,0.4,2.0,2.6,3.9,4.5,8.4,3.6,0.4,1.5,3.1,3.1,21.8,0.53,0.536,0.28600000000000003,0.5329999999999999,0.7559999999999999,0.552,0
Carlos Delfino,2012-13,30,HOU,NBA,67,1689,5,7.4,18.3,2.7,5.9,4.7,12.4,1.4,1.7,0.5,6.0,6.5,4.0,2.0,0.3,2.1,3.4,20.9,0.405,0.467,0.375,0.532,0.857,0.5489999999999999,0
Stanley Johnson,2015-16,19,DET,NBA,73,1687,6,6.7,18.0,4.8,11.8,1.9,6.1,2.4,3.1,1.7,7.4,9.2,3.5,1.6,0.4,3.4,5.3,17.7,0.375,0.41,0.307,0.428,0.784,0.46,0
Mirza Teletović,2015-16,30,PHO,NBA,79,1686,1,9.6,22.5,4.4,9.2,5.2,13.3,3.5,4.5,1.6,7.1,8.7,2.6,0.9,0.6,2.4,4.6,27.9,0.4270000000000001,0.476,0.393,0.544,0.774,0.5710000000000001,0
Jerryd Bayless,2013-14,25,TOT,NBA,72,1686,19,7.7,19.1,5.3,12.5,2.4,6.6,2.9,3.7,0.7,3.8,4.5,6.0,1.9,0.3,2.5,5.0,20.6,0.402,0.425,0.358,0.464,0.797,0.498,0
Taj Gibson,2018-19,33,MIN,NBA,70,1686,57,8.6,15.3,8.3,14.3,0.3,1.0,3.8,5.0,4.9,8.1,13.0,2.4,1.5,1.1,2.1,5.3,21.4,0.5660000000000001,0.583,0.324,0.5760000000000001,0.757,0.612,0
Jerian Grant,2017-18,25,CHI,NBA,74,1686,26,6.1,14.6,4.3,9.1,1.8,5.4,4.1,5.4,0.9,4.1,5.0,9.9,1.8,0.2,2.6,3.8,17.9,0.416,0.468,0.326,0.476,0.745,0.528,0
Devin Harris,2014-15,31,DAL,NBA,76,1685,3,6.6,15.7,3.7,7.7,2.8,8.0,4.0,4.8,0.4,3.7,4.0,7.1,2.3,0.4,2.5,4.4,19.9,0.418,0.481,0.35700000000000004,0.509,0.815,0.5589999999999999,0
Ed Davis,2015-16,26,POR,NBA,81,1684,0,6.1,10.0,6.1,10.0,0.0,0.0,3.4,6.1,6.7,11.1,17.8,2.6,1.7,2.1,1.9,6.0,15.6,0.611,0.611,,0.611,0.5589999999999999,0.616,0
Otto Porter,2018-19,25,TOT,NBA,56,1683,43,8.5,18.2,5.5,11.0,2.9,7.3,2.2,2.7,1.5,7.4,8.9,3.4,2.3,0.9,1.8,3.1,22.1,0.465,0.504,0.406,0.546,0.813,0.569,0
Nikola Vučević,2017-18,27,ORL,NBA,57,1683,57,11.6,24.4,9.7,18.5,1.9,5.9,2.2,2.7,2.9,12.3,15.2,5.6,1.6,1.8,3.2,4.2,27.3,0.475,0.527,0.314,0.513,0.8190000000000001,0.5329999999999999,0
Lauri Markkanen,2018-19,21,CHI,NBA,52,1682,51,9.9,22.9,6.4,13.3,3.5,9.6,4.9,5.6,2.1,11.4,13.6,2.2,1.1,1.0,2.5,3.5,28.1,0.43,0.479,0.361,0.506,0.872,0.5529999999999999,0
E'Twaun Moore,2012-13,23,ORL,NBA,75,1682,21,7.3,18.5,5.3,12.4,2.1,6.1,1.5,1.8,1.5,3.7,5.2,6.4,1.6,0.7,3.3,3.8,18.2,0.396,0.424,0.34,0.452,0.797,0.471,0
Shabazz Muhammad,2015-16,23,MIN,NBA,82,1682,0,9.5,20.4,8.2,15.9,1.3,4.6,5.5,7.3,3.0,5.0,8.0,1.6,0.7,0.2,2.1,2.8,25.9,0.465,0.516,0.289,0.498,0.764,0.5479999999999999,0
Tim Hardaway,2014-15,22,NYK,NBA,70,1681,30,8.7,22.5,4.9,11.4,3.8,11.1,3.9,4.9,0.4,4.5,4.9,4.0,0.6,0.4,2.6,3.7,25.2,0.389,0.435,0.342,0.474,0.8009999999999999,0.512,0
Justise Winslow,2017-18,21,MIA,NBA,68,1680,25,6.2,14.6,4.7,10.7,1.5,3.9,2.0,3.1,1.9,9.1,11.1,4.4,1.6,1.0,2.3,4.2,15.8,0.424,0.44,0.38,0.474,0.635,0.496,0
Nikola Mirotić,2016-17,25,CHI,NBA,70,1679,15,7.7,18.8,3.9,7.4,3.9,11.3,3.0,3.8,1.8,9.7,11.5,2.3,1.6,1.7,2.4,3.8,22.3,0.413,0.52,0.342,0.516,0.773,0.546,0
Pascal Siakam,2017-18,23,TOR,NBA,81,1679,5,7.4,14.6,6.6,10.7,0.9,3.9,1.6,2.6,2.3,8.4,10.7,4.7,1.8,1.2,2.0,4.9,17.3,0.508,0.612,0.22,0.537,0.621,0.5489999999999999,0
Ryan Anderson,2014-15,26,NOP,NBA,61,1675,5,9.1,22.9,5.3,11.6,3.8,11.3,4.0,4.7,3.4,5.9,9.3,1.7,1.0,0.6,1.9,3.5,26.1,0.399,0.457,0.34,0.483,0.8540000000000001,0.524,0
Wayne Ellington,2014-15,27,LAL,NBA,65,1675,36,7.7,18.8,5.0,11.4,2.7,7.4,1.6,2.0,0.9,5.5,6.4,3.2,1.0,0.1,1.5,2.3,19.8,0.412,0.439,0.37,0.485,0.813,0.504,0
Marvin Williams,2013-14,27,UTA,NBA,66,1674,50,7.2,16.5,4.6,9.2,2.6,7.3,1.8,2.3,2.6,7.9,10.5,2.4,1.7,1.0,1.7,4.7,18.9,0.439,0.503,0.359,0.519,0.7809999999999999,0.54,0
Hassan Whiteside,2018-19,29,MIA,NBA,72,1674,53,11.3,19.8,11.3,19.4,0.1,0.5,3.2,7.1,7.5,16.3,23.8,1.6,1.3,4.0,2.8,5.6,25.9,0.5710000000000001,0.581,0.125,0.5720000000000001,0.449,0.564,0
Joe Ingles,2014-15,27,UTA,NBA,79,1673,32,4.7,11.2,2.4,4.8,2.3,6.4,1.0,1.3,0.7,4.9,5.6,5.8,2.3,0.3,3.1,3.9,12.6,0.415,0.493,0.35600000000000004,0.517,0.75,0.5329999999999999,0
Dwight Powell,2017-18,26,DAL,NBA,79,1672,25,7.7,12.9,6.8,10.4,0.8,2.5,4.0,5.6,4.1,9.3,13.3,2.7,2.0,1.0,1.8,5.6,20.1,0.593,0.6559999999999999,0.333,0.626,0.7190000000000001,0.6559999999999999,0
Marco Belinelli,2015-16,29,SAC,NBA,68,1672,7,7.0,18.2,4.4,9.7,2.6,8.5,3.3,4.0,0.3,3.1,3.4,3.6,1.1,0.1,2.3,2.6,20.0,0.386,0.456,0.306,0.457,0.833,0.5,0
Royce O'Neale,2018-19,25,UTA,NBA,82,1671,16,4.7,9.8,2.7,4.8,1.9,5.0,0.9,1.2,0.6,7.5,8.2,3.6,1.5,0.7,2.0,4.9,12.2,0.475,0.569,0.386,0.574,0.762,0.589,0
JaVale McGee,2018-19,31,LAL,NBA,75,1671,62,11.1,17.9,11.1,17.5,0.0,0.3,2.7,4.2,5.4,10.3,15.8,1.4,1.3,4.1,3.0,5.8,25.0,0.624,0.634,0.083,0.625,0.632,0.634,0
Lavoy Allen,2012-13,23,PHI,NBA,79,1669,37,6.5,14.3,6.5,14.3,0.0,0.0,1.4,1.9,5.0,7.5,12.5,2.3,0.8,1.7,1.7,5.7,14.4,0.454,0.455,0.0,0.454,0.7170000000000001,0.474,0
Corey Brewer,2015-16,29,HOU,NBA,82,1669,12,6.2,16.3,4.4,9.7,1.8,6.6,3.1,4.1,1.2,4.6,5.9,3.2,2.5,0.6,2.3,4.9,17.4,0.384,0.46,0.272,0.439,0.75,0.481,0
J.J. Barea,2015-16,31,DAL,NBA,74,1667,16,9.7,21.7,6.6,13.8,3.1,7.9,2.3,2.9,0.8,3.8,4.6,9.2,0.8,0.1,3.5,3.4,24.7,0.446,0.481,0.385,0.516,0.7709999999999999,0.536,0
Gerald Henderson,2016-17,29,PHI,NBA,72,1667,41,6.8,16.2,5.1,11.1,1.8,5.1,3.9,4.8,1.0,4.4,5.4,3.3,1.2,0.4,1.8,3.8,19.3,0.423,0.455,0.353,0.478,0.8059999999999999,0.529,0
Kyrie Irving,2015-16,23,CLE,NBA,53,1667,53,12.2,27.1,9.6,19.0,2.6,8.1,5.2,5.9,1.4,3.5,4.8,7.7,1.7,0.6,3.8,3.3,32.1,0.448,0.502,0.321,0.496,0.885,0.54,0
Brian Roberts,2013-14,28,NOP,NBA,72,1667,42,7.6,18.1,5.6,12.6,2.0,5.6,3.9,4.2,0.5,3.7,4.2,7.3,1.3,0.2,3.0,4.1,21.1,0.42,0.447,0.36,0.475,0.94,0.529,0
Ramon Sessions,2015-16,29,WAS,NBA,82,1667,5,8.2,17.3,7.1,14.1,1.1,3.2,6.3,8.3,0.7,5.2,5.9,7.0,1.3,0.1,3.4,3.0,23.7,0.473,0.507,0.324,0.503,0.7559999999999999,0.565,0
Marcus Smart,2015-16,21,BOS,NBA,61,1667,10,5.4,15.5,3.6,8.4,1.8,7.0,3.8,4.9,2.2,5.2,7.5,5.4,2.7,0.5,2.3,5.4,16.3,0.348,0.4270000000000001,0.253,0.405,0.777,0.463,0
Wesley Johnson,2015-16,28,LAC,NBA,80,1666,9,6.3,15.5,3.2,6.2,3.1,9.3,0.9,1.4,1.1,6.3,7.5,1.5,2.7,1.7,1.6,5.2,16.5,0.404,0.51,0.333,0.504,0.652,0.513,0
Nikola Peković,2013-14,28,MIN,NBA,54,1663,54,11.2,20.8,11.2,20.8,0.0,0.0,5.5,7.4,6.1,7.8,13.9,1.5,0.9,0.7,2.5,3.8,28.0,0.541,0.541,,0.541,0.747,0.5820000000000001,0
Jodie Meeks,2012-13,25,LAL,NBA,78,1663,10,6.3,16.2,2.5,5.7,3.7,10.5,2.6,2.9,1.1,4.1,5.2,2.1,1.8,0.2,1.6,3.1,18.9,0.387,0.441,0.35700000000000004,0.502,0.8959999999999999,0.54,0
Patty Mills,2015-16,27,SAS,NBA,81,1662,3,8.0,18.9,4.2,9.0,3.8,9.9,1.4,1.8,0.8,4.0,4.9,7.0,1.8,0.2,2.3,3.1,21.3,0.425,0.469,0.384,0.525,0.81,0.541,0
Dwight Powell,2018-19,27,DAL,NBA,77,1662,22,8.5,14.2,7.3,10.5,1.1,3.7,5.7,7.4,4.1,7.9,12.0,3.3,1.3,1.5,2.0,5.9,23.8,0.597,0.6990000000000001,0.307,0.637,0.772,0.682,0
Tyson Chandler,2013-14,31,NYK,NBA,55,1662,55,6.1,10.3,6.1,10.3,0.0,0.0,3.1,5.0,5.1,11.8,16.9,1.9,1.2,2.0,2.3,4.6,15.4,0.593,0.595,0.0,0.593,0.632,0.615,0
