Player,Season,Age,Tm,Lg,G,MP,GS,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All NBA
Kyle Lowry\lowryky01,2013-14,27,TOR,NBA,79,2862,79,20.1,0.46299999999999997,0.35600000000000004,3.6,11.5,7.5,34.7,2.2,0.4,13.4,22.9,118,106,8.4,3.3,11.7,0.19699999999999998,4.1,0.6,4.7,4.8,0
Russell Westbrook\westbru01,2012-13,24,OKC,NBA,82,2861,82,23.9,0.195,0.375,4.8,11.8,8.6,38.4,2.6,0.6,13.2,32.8,111,103,7.7,3.9,11.6,0.195,4.6,-0.2,4.4,4.6,1
Kemba Walker\walkeke02,2012-13,22,CHA,NBA,82,2859,82,18.8,0.267,0.298,2.3,9.2,5.7,31.2,2.9,0.9,12.4,25.6,105,111,3.7,1.1,4.8,0.08,2.2,-0.8,1.4,2.4,0
Trevor Ariza\arizatr01,2015-16,30,HOU,NBA,81,2859,81,12.9,0.581,0.187,2.6,11.6,7.1,10.0,2.8,0.8,10.8,15.7,110,108,3.1,2.3,5.4,0.09,0.1,0.3,0.4,1.7,0
Chris Paul\paulch01,2014-15,29,LAC,NBA,82,2857,82,26.0,0.298,0.27399999999999997,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,126,105,12.9,3.2,16.1,0.27,6.4,1.6,8.0,7.2,1
Marcus Morris\morrima03,2015-16,26,DET,NBA,80,2856,80,12.7,0.315,0.287,3.3,12.4,7.7,11.0,1.2,0.6,11.6,18.4,107,108,2.9,2.5,5.4,0.091,-0.3,0.1,-0.2,1.3,0
Khris Middleton\middlkh01,2015-16,24,MIL,NBA,79,2852,79,16.8,0.316,0.273,1.8,10.2,6.0,18.9,2.3,0.6,12.3,23.0,109,110,4.3,1.8,6.1,0.10300000000000001,1.2,-0.5,0.6,1.9,0
Kyle Lowry\lowryky01,2015-16,29,TOR,NBA,77,2851,77,22.2,0.457,0.41,2.2,12.3,7.3,29.9,2.9,1.0,13.7,26.1,115,104,8.0,3.7,11.6,0.196,4.7,1.1,5.8,5.7,1
Tobias Harris\harrito02,2018-19,26,TOT,NBA,82,2847,82,17.2,0.313,0.245,2.6,20.8,12.0,12.5,0.8,1.0,9.8,22.8,114,111,4.5,2.6,7.1,0.12,2.1,-0.5,1.6,2.6,0
Stephen Curry\curryst01,2013-14,25,GSW,NBA,78,2846,78,24.1,0.445,0.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,117,104,9.3,4.0,13.4,0.225,6.3,1.1,7.4,6.7,1
Andrew Wiggins\wiggian01,2015-16,20,MIN,NBA,81,2845,81,16.5,0.147,0.43700000000000006,4.3,7.5,5.9,10.1,1.4,1.3,10.6,27.2,106,113,3.4,0.7,4.1,0.069,0.9,-2.2,-1.3,0.5,0
Giannis Antetokounmpo\antetgi01,2016-17,22,MIL,NBA,80,2845,80,26.1,0.14300000000000002,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,116,104,7.9,4.5,12.4,0.21,4.9,2.4,7.3,6.7,1
Deron Williams\willide01,2012-13,28,BRK,NBA,78,2842,78,20.3,0.39799999999999996,0.32799999999999996,1.2,8.5,4.8,37.5,1.4,0.8,14.5,24.4,118,109,9.1,1.8,10.9,0.184,4.5,-0.7,3.8,4.2,0
Paul George\georgpa01,2018-19,28,OKC,NBA,77,2841,77,23.3,0.469,0.335,3.7,19.6,11.4,17.7,2.8,1.0,10.0,29.5,116,105,7.0,4.9,11.9,0.201,5.6,1.6,7.2,6.6,1
Damian Lillard\lillada01,2018-19,28,POR,NBA,80,2838,80,23.7,0.419,0.335,2.6,11.1,7.0,30.6,1.5,1.0,10.8,29.3,121,112,9.7,2.4,12.1,0.205,6.6,-0.3,6.4,6.0,1
John Wall\walljo01,2014-15,24,WAS,NBA,79,2837,79,19.9,0.18600000000000003,0.31,1.5,12.8,7.3,46.3,2.5,1.3,18.7,26.1,105,102,3.6,4.2,7.8,0.132,2.6,1.0,3.6,4.0,0
John Wall\walljo01,2016-17,26,WAS,NBA,78,2836,78,23.2,0.19,0.36700000000000005,2.4,10.6,6.5,46.9,2.7,1.4,16.2,30.6,111,108,5.8,3.0,8.8,0.149,4.6,0.1,4.7,4.8,1
Giannis Antetokounmpo\antetgi01,2015-16,21,MIL,NBA,80,2823,79,18.8,0.10800000000000001,0.40399999999999997,4.6,20.0,12.4,20.0,1.7,3.4,14.8,22.3,109,106,4.2,2.9,7.1,0.121,1.3,0.7,2.1,2.9,0
